dataset,domain,family,rate,mase_native,mase_phase_filled,mase_persistence,mase_seasonal_last,mase_seasonal_median,mase_equal_ensemble,mase_gate_rate,mase_gate_uncertainty,mase_gate_full,mase_source_best_fixed,mase_oracle_pair,mase_replay_clean,mase_replay_matched,coverage80,width80_scaled,quantile_crossing
ETTh1,transformer,clean,0.0,0.978701966429236,0.978701966429236,1.9994841458334993,1.0924772793535678,1.2643770139735329,1.059311877910772,0.978701966429236,0.978701966429236,0.9827603648290619,0.978701966429236,0.9234387198440117,0.978701966429236,0.978701966429236,0.7904265873015872,2.9428677978991216,0.0
ETTh1,transformer,middle,0.125,0.9742873018593631,0.9716763386402928,1.9994841458334993,1.0924772793535678,1.2380949516300346,1.0483154222670665,0.9742873018593631,0.9742873018593631,0.9795458220567669,0.9716763386402928,0.9241849457407122,0.9742873018593631,0.9742873018593631,0.7988591269841271,3.000884841529265,0.0
ETTh1,transformer,middle,0.25,0.9820405583464797,0.9861265689012007,1.9994841458334993,1.0924772793535678,1.2336538956975684,1.0491619631052107,0.9820405583464797,0.9820405583464797,0.9864665133151085,0.9861265689012007,0.9251450442953031,0.9820405583464797,0.9820405583464797,0.8065476190476191,3.068034981873624,0.0
ETTh1,transformer,middle,0.5,0.9777867129496374,1.0078797632518575,1.9994841458334993,1.0924772793535678,1.2090890219064558,1.0398189478054296,0.9777867129496374,0.9777867129496374,0.9931147171053257,1.0078797632518575,0.923906140973432,0.9777867129496374,0.9777867129496374,0.8303571428571429,3.3981893497206994,0.0
ETTh1,transformer,random,0.125,1.0272241443285774,1.0178957458741709,1.9945669580744472,1.1194344736614492,1.2739240622643486,1.1032787818972993,1.0272241443285774,1.0272241443285774,1.0255322908715079,1.0178957458741709,0.9744008904093998,1.0272241443285774,1.0272241443285774,0.7916666666666666,3.2222020923093946,0.0
ETTh1,transformer,random,0.25,1.0491108206180504,1.0552146723388753,2.0286191031763074,1.14041252029574,1.283801424817058,1.1184546911643265,1.0491108206180504,1.0491108206180504,1.0467048191195205,1.0552146723388753,0.993059945477702,1.0491108206180504,1.0491108206180504,0.7850529100529101,3.2940967535453725,0.0
ETTh1,transformer,random,0.5,1.121091368017248,1.1602568705554255,2.0864083738778514,1.2232106465609975,1.3064490115243006,1.1563145538580817,1.121091368017248,1.121091368017248,1.1190843849109207,1.1602568705554255,1.043279462685301,1.121091368017248,1.121091368017248,0.7745535714285714,3.4896137568501264,0.0
ETTh1,transformer,tail,0.125,1.2644449215360472,1.3389658395064754,2.3644992427321094,1.3300025685598114,1.3371838321435197,1.2738880366934406,1.2644449215360472,1.2644449215360472,1.2432162973609828,1.3389658395064754,1.1548193226766312,1.3254270095552172,1.3110043536316336,0.7172619047619048,3.6329663214867027,0.0
ETTh1,transformer,tail,0.25,1.392012092162717,1.3885356107182267,2.4427373271360935,1.6084885830380284,1.3875321417785256,1.3641400022530226,1.392012092162717,1.392012092162717,1.3716614198963144,1.3885356107182267,1.2601309036736785,1.518132364128474,1.4651168700312658,0.7061011904761905,3.948683236797166,0.0
ETTh1,transformer,tail,0.5,1.4991682867666904,1.4566559996008053,2.6089617754134973,1.6268131748121826,1.4591446800226149,1.4540783943966018,1.4991682867666904,1.4991682867666904,1.5019178110590694,1.4566559996008053,1.347066521878735,1.531695990077137,1.5597004094035805,0.6788194444444444,4.061241515463702,0.0
ETTh2,transformer,clean,0.0,0.9092055626543036,0.9092055626543036,1.3299356327813516,1.1559603710128197,1.3162117028365325,1.064577420303117,0.9092055626543036,0.9092055626543036,0.90427803384258,0.9092055626543036,0.8528656546820341,0.9092055626543036,0.9092055626543036,0.7661210317460319,2.688788502243137,0.0
ETTh2,transformer,middle,0.125,0.9099640361062103,0.9066442697242587,1.3299356327813516,1.1559603710128197,1.3083045283132586,1.0648131775071872,0.9099640361062103,0.9099640361062103,0.9185261839327626,0.9066442697242587,0.8536642218910744,0.9099640361062103,0.9099640361062103,0.7715773809523809,2.715745584355107,0.0
ETTh2,transformer,middle,0.25,0.9148455039992659,0.9064065301016155,1.3299356327813516,1.1559603710128197,1.3182487499806408,1.0731320221888785,0.9148455039992659,0.9148455039992659,0.9326219661115477,0.9064065301016155,0.8658006686727789,0.9148455039992659,0.9148455039992659,0.7810019841269842,2.80808967126839,0.0
ETTh2,transformer,middle,0.5,0.9395801839892363,0.9280871072159949,1.3299356327813516,1.1559603710128197,1.2986007019106893,1.0696928840517803,0.9395801839892363,0.9395801839892363,0.9535866400611782,0.9280871072159949,0.8889684268451302,0.9395801839892363,0.9395801839892363,0.8120039682539681,3.095698287378091,0.0
ETTh2,transformer,random,0.125,0.9629923542914518,0.9533046698365202,1.3391804838598964,1.2075303219934916,1.3250484435367693,1.099400059034528,0.9629923542914518,0.9629923542914518,0.9769991308395171,0.9533046698365202,0.9025142319111632,0.9629923542914518,0.9629923542914518,0.7733134920634921,2.8399801202778883,0.0
ETTh2,transformer,random,0.25,0.9977162760342747,1.01734016920642,1.341029901293221,1.243149924091227,1.3242766502464571,1.1130446449120608,0.9977162760342747,0.9977162760342747,1.0140978674140144,1.01734016920642,0.9348412491489354,0.9977162760342747,0.9977162760342747,0.765542328042328,2.844490862326562,0.0
ETTh2,transformer,random,0.5,1.0502389703660677,1.1802811450135746,1.31972710114077,1.339542859306151,1.357607561239552,1.1504974442421358,1.0502389703660677,1.0502389703660677,1.0682049545644934,1.1802811450135746,0.9823694215325678,1.0502389703660677,1.0502389703660677,0.7395006613756613,2.857881876010481,0.0
ETTh2,transformer,tail,0.125,1.3871967517177797,1.4123161098411756,1.8300441936622016,1.5658324505607542,1.3967493037848677,1.3622194078368504,1.3871967517177797,1.3871967517177797,1.396321507418479,1.4123161098411756,1.2373111164972543,1.4747874614033825,1.4784795638988064,0.6867559523809523,3.272584678612244,0.0
ETTh2,transformer,tail,0.25,1.4457341173348817,1.4407169367331982,1.8768003569015663,1.6047112346961585,1.4261097569308991,1.4141731123853358,1.4457341173348817,1.4457341173348817,1.4498080753300162,1.4407169367331982,1.286553922479978,1.4630721930579096,1.4621530693878153,0.6865079365079365,3.409397277083497,0.0
ETTh2,transformer,tail,0.5,1.5453605208096628,1.4834581466478298,1.7812105518043562,1.6142425309488846,1.4850843691380553,1.4853114259821052,1.5453605208096628,1.5453605208096628,1.5474493217437089,1.4834581466478298,1.3601579128174341,1.505198775766869,1.5707163192727573,0.6488095238095238,3.324415106875639,0.0
electricity,electricity,clean,0.0,1.0173228366680573,1.0173228366680573,5.869465392772437,1.100852109984751,1.281150113478495,1.0638528964507425,1.0173228366680573,1.0173228366680573,1.0173228366680573,1.0173228366680573,0.9143146988430626,1.0173228366680573,1.0173228366680573,0.7996961805555555,3.093515980425559,0.005208333333333333
electricity,electricity,middle,0.125,1.0538406889111767,1.0475678925145961,5.869465392772437,1.100852109984751,1.2807947505847959,1.086056134641013,1.0538406889111767,1.0538406889111767,1.0538406889111767,1.0538406889111767,0.9402088513419389,1.0538406889111767,1.0538406889111767,0.7942708333333334,3.1672012380742722,0.005208333333333333
electricity,electricity,middle,0.25,1.0702844740418007,1.064712409429227,5.869465392772437,1.100852109984751,1.2795305315656378,1.100355798957859,1.0702844740418007,1.0702844740418007,1.0702844740418007,1.0702844740418007,0.9521860250473816,1.0702844740418007,1.0702844740418007,0.8040364583333334,3.2141226303377617,0.005208333333333333
