dataset,domain,family,rate,mase_native,mase_phase_filled,mase_persistence,mase_seasonal_last,mase_seasonal_median,mase_equal_ensemble,mase_gate_rate,mase_gate_uncertainty,mase_gate_full,mase_source_best_fixed,mase_oracle_pair,mase_replay_clean,mase_replay_matched,coverage80,width80_scaled,quantile_crossing
ETTh1,transformer,clean,0.0,0.9421214137106334,0.9421214137106334,1.9994841458334993,1.0924772793535678,1.2643770139735329,1.0290562020280518,0.9421214137106334,1.0145966106653044,0.9820197014707275,0.9421214137106334,0.8827791153486066,0.9421214137106334,0.9421214137106334,0.761656746031746,2.8401709949496103,0.0
ETTh1,transformer,middle,0.125,0.9151487943539872,0.9086803124819205,1.9994841458334993,1.0924772793535678,1.2380949516300346,1.0064172269521074,0.9151487943539872,0.9667278908334088,0.9565868391253703,0.9086803124819205,0.8626946523009105,0.9151487943539872,0.9151487943539872,0.7740575396825397,2.882201916254759,0.0
ETTh1,transformer,middle,0.25,0.9334793730046768,0.9362919297432948,1.9994841458334993,1.0924772793535678,1.2336538956975684,1.012583360226567,0.9334793730046768,1.012151259326374,0.9803956692361827,0.9362919297432948,0.8648227931259134,0.9334793730046768,0.9334793730046768,0.7591765873015873,2.7971982763169065,0.0
ETTh1,transformer,middle,0.5,0.9362717014876455,0.9831747184128459,1.9994841458334993,1.0924772793535678,1.2090890219064558,1.0000488588465901,0.9362717014876455,0.9730964742338286,0.9841690295595129,0.9831747184128459,0.8752492198842683,0.9362717014876455,0.9362717014876455,0.7619047619047619,2.7727373717354395,0.0
ETTh1,transformer,random,0.125,1.0083498808084232,0.9842611472373922,1.9945669580744472,1.1194344736614492,1.2739240622643486,1.079112633871022,1.0083498808084232,1.0700795691759206,1.032661019374113,0.9842611472373922,0.9230873843385791,1.0083498808084232,1.0083498808084232,0.7820767195767196,3.216733956522048,0.0
ETTh1,transformer,random,0.25,1.0663992724664733,1.0333300910274474,2.0286191031763074,1.14041252029574,1.283801424817058,1.116102001079495,1.0663992724664733,1.130896182657755,1.0772411526723131,1.0333300910274474,0.9605234925966022,1.0663992724664733,1.0663992724664733,0.7886078042328042,3.4306192738133126,0.0
ETTh1,transformer,random,0.5,1.2998287568744638,1.1742594203369785,2.0864083738778514,1.2232106465609975,1.3064490115243006,1.224522667438058,1.2998287568744638,1.375869269364753,1.3096490423000966,1.1742594203369785,1.0858312169722528,1.2998287568744638,1.2998287568744638,0.7624834656084657,3.792511844487256,0.0
ETTh1,transformer,tail,0.125,1.410884770579784,1.3436415169497924,2.3644992427321094,1.3300025685598114,1.3371838321435197,1.3088880607060938,1.410884770579784,1.4033092315011697,1.3875164352281633,1.3436415169497924,1.1414970240786335,1.4418597721585922,1.3421240458086463,0.7212301587301587,4.043803411280775,0.0
ETTh1,transformer,tail,0.25,1.4797321021005996,1.3881018407237515,2.4427373271360935,1.6084885830380284,1.3875321417785256,1.394492801500715,1.4797321021005996,1.4539169310721192,1.4413116693165366,1.3881018407237515,1.2715833184554333,1.5168535442685451,1.4368445877920515,0.7145337301587302,4.007184414093696,0.0
ETTh1,transformer,tail,0.5,1.5185049290072985,1.4519544359193304,2.6089617754134973,1.6268131748121826,1.4591446800226149,1.4429431308388605,1.5185049290072985,1.5089772034245832,1.4956287498224539,1.4519544359193304,1.3426797302226468,1.5236375312128443,1.5568949201964706,0.691468253968254,3.9997409100786876,0.0
ETTh2,transformer,clean,0.0,0.9272608348436132,0.9272608348436132,1.3299356327813516,1.1559603710128197,1.3162117028365325,1.0714346221012563,0.9272608348436132,1.0943949737983938,0.9869164348772204,0.9272608348436132,0.8680571620962403,0.9272608348436132,0.9272608348436132,0.7405753968253969,2.669466196228344,0.011904761904761904
ETTh2,transformer,middle,0.125,0.9314799100292254,0.921627423885118,1.3299356327813516,1.1559603710128197,1.3083045283132586,1.0628132818728393,0.9314799100292254,1.071436316702562,0.9457298000558089,0.921627423885118,0.86376853634986,0.9314799100292254,0.9314799100292254,0.7450396825396826,2.6746780987837018,0.005952380952380952
ETTh2,transformer,middle,0.25,0.9458752921023544,0.9143688586869074,1.3299356327813516,1.1559603710128197,1.3182487499806408,1.0676598506948853,0.9458752921023544,1.0740227901211736,0.9625136637545368,0.9143688586869074,0.8711816298746976,0.9458752921023544,0.9458752921023544,0.7281746031746031,2.6091270166429394,0.005952380952380952
ETTh2,transformer,middle,0.5,0.9538304240862426,0.9303274336627387,1.3299356327813516,1.1559603710128197,1.2986007019106893,1.0612244650670628,0.9538304240862426,1.0641229647305823,0.9720058740622373,0.9303274336627387,0.8758889457307316,0.9538304240862426,0.9538304240862426,0.7331349206349207,2.7711643725503543,0.0
ETTh2,transformer,random,0.125,0.9794260203656642,0.9824595593147725,1.3391804838598964,1.2075303219934916,1.3250484435367693,1.0970370956272233,0.9794260203656642,1.1167200197949305,1.0297576762145022,0.9824595593147725,0.9076451572472302,0.9794260203656642,0.9794260203656642,0.7447916666666666,2.848865659479597,0.0
ETTh2,transformer,random,0.25,0.99904921106848,1.0433753585965642,1.341029901293221,1.243149924091227,1.3242766502464571,1.1123369073036804,0.99904921106848,1.1176016500906223,1.0338667032169382,1.0433753585965642,0.9254484080159275,0.99904921106848,0.99904921106848,0.7511574074074073,2.9602509159664154,0.0
ETTh2,transformer,random,0.5,1.1887368000344856,1.1989236920334898,1.31972710114077,1.339542859306151,1.357607561239552,1.227614168475968,1.1887368000344856,1.2470567194233586,1.1819216259976286,1.1989236920334898,1.1044020058947692,1.1887368000344856,1.1887368000344856,0.7139550264550264,3.0906784986435962,0.0
