Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Fra:1 Mem:40.66M (Peak 42.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor_dry
Fra:1 Mem:40.66M (Peak 42.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor_substrate_dry
Fra:1 Mem:40.66M (Peak 42.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor_wet
Fra:1 Mem:40.66M (Peak 42.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor_substrate_wet
Fra:1 Mem:41.67M (Peak 42.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Threshold
Fra:1 Mem:42.75M (Peak 42.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_recess
Fra:1 Mem:42.77M (Peak 42.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.001
Fra:1 Mem:42.80M (Peak 42.80M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.002
Fra:1 Mem:42.80M (Peak 42.80M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drip_edge
Fra:1 Mem:42.83M (Peak 42.83M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.003
Fra:1 Mem:42.90M (Peak 42.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cup_handle
Fra:1 Mem:42.87M (Peak 42.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.004
