Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/runner/work/future/future/workspaces/glasshouse-terminus/output/g3-r03/g3-bay-candidate.blend"
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_sky_key
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_front_fill
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_back_fill
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_interior_fill
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_interior_fill.001
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | QA_interior_fill.002
Fra:451 Mem:269.75M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Platform_coping_edge
Fra:451 Mem:270.76M (Peak 271.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail
Fra:451 Mem:271.76M (Peak 271.76M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail.003
Fra:451 Mem:271.77M (Peak 271.77M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail.005
Fra:451 Mem:271.80M (Peak 271.80M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail.002
Fra:451 Mem:271.79M (Peak 271.80M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.008
Fra:451 Mem:271.81M (Peak 271.81M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail.004
Fra:451 Mem:271.80M (Peak 271.81M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.017
Fra:451 Mem:271.81M (Peak 271.81M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.022
Fra:451 Mem:271.81M (Peak 271.81M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.029
Fra:451 Mem:271.82M (Peak 271.82M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_rail.001
Fra:451 Mem:271.82M (Peak 271.82M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_continuous_floor
Fra:451 Mem:271.85M (Peak 271.85M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bridge_continuous_guard.002
Fra:451 Mem:271.96M (Peak 271.96M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.001
Fra:451 Mem:271.97M (Peak 271.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.007
Fra:451 Mem:271.97M (Peak 271.97M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.016
Fra:451 Mem:271.98M (Peak 271.98M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.028
Fra:451 Mem:271.99M (Peak 271.99M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.021
Fra:451 Mem:272.00M (Peak 272.00M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step.002
Fra:451 Mem:272.05M (Peak 272.05M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step.001
Fra:451 Mem:272.06M (Peak 272.06M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Platform_drain_channel
