#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf60.16.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1280x720
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  1382400, 6b74821383c1990c30e008e374cd45f9
0,          1,          1,        1,  1382400, 7836ba4d1ec8323f938b786539406c12
0,          2,          2,        1,  1382400, ca8c41c2c82c2650f112d7efc14ae3e1
0,          3,          3,        1,  1382400, 3efe741958a46824931099b3f512d6fa
0,          4,          4,        1,  1382400, 4ff5c8d6f817eb2b5d79cc81dafe186a
0,          5,          5,        1,  1382400, 473760afd805baee501c3c9dfd39c89e
0,          6,          6,        1,  1382400, 00a8c877feecad67eed7e8e78399bb44
0,          7,          7,        1,  1382400, 4742f1b7a611e1ff3130aa2ac30b388e
0,          8,          8,        1,  1382400, d799b60e73aaba5dceb0e962b82682d8
0,          9,          9,        1,  1382400, a94b898be8d32449e0fa6d4985d8cb29
0,         10,         10,        1,  1382400, 7a91ef9a0e1665d65a0a909418469b29
0,         11,         11,        1,  1382400, bbac46f5e41896d4f05d61884ee20a20
0,         12,         12,        1,  1382400, e70237f73400bb553392702d945bfc3c
0,         13,         13,        1,  1382400, 1995ee65601425f7fb14f4c7b88a9722
0,         14,         14,        1,  1382400, b71cd677933bdb4c91b3aba93ecda623
0,         15,         15,        1,  1382400, 400669c99fb39044a69c0a3a7a15300f
0,         16,         16,        1,  1382400, b10fbf4ec3a118dab786005cee451b8a
0,         17,         17,        1,  1382400, 3dc107ed90d1a9bb70e57771c93c7dd0
0,         18,         18,        1,  1382400, 3e42ba8a37bb6e2e0587cff34a68b7e3
0,         19,         19,        1,  1382400, 59926ef07c4f2158c42ffa87fed9a33b
0,         20,         20,        1,  1382400, 7d56453c1afda5484e8292e0e7f8e683
0,         21,         21,        1,  1382400, 56e2fdd0a6d06503f475e98b5ac5fc5d
0,         22,         22,        1,  1382400, c42e4f3e081c29c2cd0f8c1eb4634a33
0,         23,         23,        1,  1382400, 297eb9147bbb1c576fbc736a98ad2fae
0,         24,         24,        1,  1382400, 7b6f59a013e7a1570db1583dee873a0b
0,         25,         25,        1,  1382400, 7876d76605d2a751b666335905961f22
0,         26,         26,        1,  1382400, f6e60acda7d752a6ca68e3dae49cbf3d
0,         27,         27,        1,  1382400, 6987e361bd53577582f92d63a72f926d
0,         28,         28,        1,  1382400, e9643dac3ab1588e68c8f3266ec86b91
0,         29,         29,        1,  1382400, 4180d8045e1bf272ee2102cdd8ba1929
0,         30,         30,        1,  1382400, 207d976c5150b8a45aef2292b6e5d764
0,         31,         31,        1,  1382400, 04053d86050832f1184f648922b90516
0,         32,         32,        1,  1382400, fa13fce06303fbe51b7f1884584b11ce
0,         33,         33,        1,  1382400, b841c5e71df5f92caf8d0a1d133ecb0b
0,         34,         34,        1,  1382400, bf04c9e093120cb0fa3426d426da4be3
0,         35,         35,        1,  1382400, 3f4a611c4af452515df79e179225b704
0,         36,         36,        1,  1382400, 90cc9f72c2fa70d6fa995247fa3015a6
0,         37,         37,        1,  1382400, 891f7d14f7d3e00f670d17c07739c3b1
0,         38,         38,        1,  1382400, 5efe1e5987e23cdcc4a38cdf5db5a5c3
0,         39,         39,        1,  1382400, 2fb2faea78d5349d72f8d875f3b8c98d
0,         40,         40,        1,  1382400, b0c422be61f02212bf3604cba976ca1f
0,         41,         41,        1,  1382400, dc7df3a13d66ebf6d7df3b02473e2d6c
0,         42,         42,        1,  1382400, d0ac4ecac90cf06be6ccb47ec58d97ec
0,         43,         43,        1,  1382400, 2e7bcad9a04850812cb223f8ea19fb49
0,         44,         44,        1,  1382400, e49ef659aa41b9684d96daa4deca2080
0,         45,         45,        1,  1382400, f9431db9df2117fcfa536b0366bd6a42
0,         46,         46,        1,  1382400, c342e4c2ba5f1fd843ee105bce87bf12
0,         47,         47,        1,  1382400, fe00d07eed509308c67afeb67dd4b390
0,         48,         48,        1,  1382400, 13d14195f69bf2bc029c4fd7cca5fca8
0,         49,         49,        1,  1382400, 91c50404fe815388027c854a5b6ab0af
0,         50,         50,        1,  1382400, 1bf4e6d7a900e356edb28f4de521d5bd
0,         51,         51,        1,  1382400, 73c9c8e4a7e88c63e49e93db1f7b086a
0,         52,         52,        1,  1382400, 25591666363406e03a8234524d1a7c8b
0,         53,         53,        1,  1382400, 63b3c252ef8b1bdd2aff386f78ea1938
0,         54,         54,        1,  1382400, 5bd579282d90684322b2db7c89982920
0,         55,         55,        1,  1382400, 1c19c104ee76aad65ebc6178fdb8c804
0,         56,         56,        1,  1382400, 5823358b4a8df0ed6cad45086ca56a65
0,         57,         57,        1,  1382400, 013a9fc341fcd1b905c382e29029636f
0,         58,         58,        1,  1382400, 146200589de84fe4c24d54f623edb7e7
0,         59,         59,        1,  1382400, 1e552a26306dab1b5d4b78134b80db35
0,         60,         60,        1,  1382400, abc8275672e271fe5d144ef718856383
0,         61,         61,        1,  1382400, 37a1166e37eeaecdfc377ce97ce267d9
0,         62,         62,        1,  1382400, e27be6d15faaebdbdbf0109defeb978e
0,         63,         63,        1,  1382400, 33cbd628038cfdd2e07e884dfee5d3c4
0,         64,         64,        1,  1382400, 9770a29fc00c5df2afcb34abf8444a4d
0,         65,         65,        1,  1382400, a453c599081b495e2bd163bfe0d5b6a9
0,         66,         66,        1,  1382400, 8563d34b16f493303a1b4922f0b16d68
0,         67,         67,        1,  1382400, b9f4ee6d4f2434d4bb130c6d73035945
0,         68,         68,        1,  1382400, e8997490e33597e98c223d964285a0fc
0,         69,         69,        1,  1382400, c1232e2ad99078e02208cb0145ea9ff6
0,         70,         70,        1,  1382400, 921719667b6ca70390e040dddca6fdff
0,         71,         71,        1,  1382400, 7df94b640cbc23165d68c31115c8e949
0,         72,         72,        1,  1382400, 16c81649cd465a6c04c1af5ec19911aa
0,         73,         73,        1,  1382400, 8ac81fa1cf628596a3f9e9d33145e29e
0,         74,         74,        1,  1382400, bcf5127ab1f511def0dcb9d396561a00
0,         75,         75,        1,  1382400, 9a070fd62d672a82e103e146c996b2b9
0,         76,         76,        1,  1382400, 6e93f2689342ae83cabe228e03511f5c
0,         77,         77,        1,  1382400, 6a8f299368380bae2c3f4e5c17ff52e8
0,         78,         78,        1,  1382400, 7ae31343df217e345671ad931bb48ac4
0,         79,         79,        1,  1382400, a7ec49c63efeea3770b895d5e79f6973
0,         80,         80,        1,  1382400, 5eca44cb2a448489dd01fe757a79a76c
0,         81,         81,        1,  1382400, f24fc229c828c610511f58ad0374cd7c
0,         82,         82,        1,  1382400, 3abf9a078f6c46fb31253a63f5c29dda
0,         83,         83,        1,  1382400, bebe01717235d9e38871ec42e5af7d9b
0,         84,         84,        1,  1382400, fbfe2acc67f0856212280f677d1166b9
0,         85,         85,        1,  1382400, 2e8fae955a837318457e61b7870e1c13
0,         86,         86,        1,  1382400, a476fc7cc2d86c9aaa0e0ce2ef41c91b
0,         87,         87,        1,  1382400, 7062720ab74b3882acb87a54f6378f58
0,         88,         88,        1,  1382400, edc196b2a054e554eaa73ee89fc7bf65
0,         89,         89,        1,  1382400, a1b506ef2c1660a2afa09646bcb200e0
0,         90,         90,        1,  1382400, 242194120d25f7fc255765a427c59395
0,         91,         91,        1,  1382400, 3cf2c52b3ee7414d42255208a4a2ff48
0,         92,         92,        1,  1382400, 226e7a130fc9248348add9cddabf1340
0,         93,         93,        1,  1382400, af5980d548f80a77f829a791f8273247
0,         94,         94,        1,  1382400, cd5b81155aa30fb223ea74489ceba9c2
0,         95,         95,        1,  1382400, 93161e60f63f4f5faab761d6ac0d47e2
0,         96,         96,        1,  1382400, 686ff5ea442ef5c080893cc3392f609e
0,         97,         97,        1,  1382400, 384d865941a2251911ee5972a69063ed
0,         98,         98,        1,  1382400, b91813834cc3105df0b10a1462f4cac7
0,         99,         99,        1,  1382400, 4c62418c6f81cd7b548a2b8b5dca2bfa
0,        100,        100,        1,  1382400, 09ed4c1c94c9a780bb0a681ac589338e
0,        101,        101,        1,  1382400, 3fb5e16f7edecdd52f59a12d86e6b6a7
0,        102,        102,        1,  1382400, 8d6284635572039e82c496fff9dd9fef
0,        103,        103,        1,  1382400, a51e0e346b5edfac589d35a0ce8e9ca6
0,        104,        104,        1,  1382400, c7f418b8faddbc99c97ab3e136680dd1
